"assignment_kind","outer_fold","images","constraint_groups","normal","bacterial","viral","group_crossings"
"main_filename_group_plus_exact_sha256","0","1119","761","285","569","265","0"
"main_filename_group_plus_exact_sha256","1","1035","762","285","478","272","0"
"main_filename_group_plus_exact_sha256","2","1060","763","285","489","286","0"
"main_filename_group_plus_exact_sha256","3","1005","762","285","465","255","0"
"main_filename_group_plus_exact_sha256","4","1062","762","285","523","254","0"
"conservative_raw_identifier_plus_exact_sha256","0","1096","610","287","525","284","0"
"conservative_raw_identifier_plus_exact_sha256","1","1057","605","286","495","276","0"
"conservative_raw_identifier_plus_exact_sha256","2","1077","606","290","533","254","0"
"conservative_raw_identifier_plus_exact_sha256","3","1006","593","276","478","252","0"
"conservative_raw_identifier_plus_exact_sha256","4","1045","603","286","493","266","0"
