split,metric,value,ci95_low,ci95_high
val,accuracy,0.8505154639175257,0.8167524271428693,0.8844269424043294
val,macro_recall_balanced_accuracy,0.8585705452959417,0.8266651095435921,0.8920730566262751
val,macro_f1,0.8469198633258964,0.8150286200196188,0.879232097123471
val,weighted_f1,0.8529649549404309,0.8192994065772345,0.8861976711810877
val,normal_precision,0.950920245398773,0.9146077988557664,0.9820359281437125
val,normal_recall_sensitivity,0.9810126582278481,0.9559748427672956,1.0
val,normal_specificity,0.9811320754716981,0.9667497868712702,0.9931200515269574
val,normal_f1,0.9657320872274143,0.9428547378547378,0.9853372434017595
val,normal_support,158.0,,
val,bacterial_precision,0.9058823529411765,0.8526201372997712,0.9489382561535252
val,bacterial_recall_sensitivity,0.8105263157894737,0.7531309162066278,0.8626777823805578
val,bacterial_specificity,0.9191919191919192,0.8774121986127932,0.9542296531632792
val,bacterial_f1,0.8555555555555555,0.8093125602866198,0.8940690428713858
val,bacterial_support,285.0,,
val,viral_precision,0.6646341463414634,0.5813814232001114,0.7468373964681981
val,viral_recall_sensitivity,0.7841726618705036,0.704223268605717,0.8620821268754935
val,viral_specificity,0.8758465011286681,0.840274731968811,0.9098738552468072
val,viral_f1,0.7194719471947195,0.6540820029027576,0.78210253082414
val,viral_support,139.0,,
test,accuracy,0.7965217391304348,0.7347552844394121,0.8493168677878271
test,macro_recall_balanced_accuracy,0.800632092407684,0.7470445775862442,0.8516613035404184
test,macro_f1,0.7950068597749335,0.7391922889599205,0.8433553396191938
test,weighted_f1,0.7945687196319539,0.7274453900519006,0.8496691842962345
test,normal_precision,0.9005847953216374,0.8537976037655113,0.9435090042372881
test,normal_recall_sensitivity,0.9746835443037974,0.9480500713159673,0.994186886678317
test,normal_specificity,0.9592326139088729,0.938238058140295,0.9773366439744109
test,normal_f1,0.9361702127659575,0.9067502679528403,0.9618768328445748
test,normal_support,158.0,,
test,bacterial_precision,0.8130081300813008,0.6867955423978402,0.9099537914691943
test,bacterial_recall_sensitivity,0.78125,0.714267767408471,0.8426994475968583
test,bacterial_specificity,0.8557993730407524,0.7569149560117302,0.9326711935407587
test,bacterial_f1,0.796812749003984,0.7222222222222222,0.8586063912655237
test,bacterial_support,256.0,,
test,viral_precision,0.6582278481012658,0.5639486108943343,0.7515181224004753
test,viral_recall_sensitivity,0.6459627329192547,0.5089646673503821,0.7793275862068965
test,viral_specificity,0.8695652173913043,0.8284421612888948,0.908872592924317
test,viral_f1,0.6520376175548589,0.5539032530305356,0.7368585526315788
test,viral_support,161.0,,
