task,model,n,threshold,accuracy,balanced_accuracy,f1,roc_auc,pr_auc,sensitivity,specificity,brier,inference_ms_per_image,roc_auc_ci95,fit_seconds,selected_classifier,validation_auc,blend_feature_weight,meta_C,coefficients,temperature,pr_threshold,uncertainty_threshold,coverage,selective_accuracy,selective_f1
stage1,intensity_logistic,575,0.5,0.831304347826087,0.8483137540600431,0.8745148771021992,0.9132744437361504,0.964507087258202,0.8105515587529976,0.8860759493670886,0.1209483372014942,0.0,"[0.8875390802983879, 0.9364154360815131]",0.0,,,,,,,,,,,
stage1,hog_linear_svm,575,0.5,0.937391304347826,0.9312828218437909,0.9563106796116504,0.9770816258385696,0.9903236067245912,0.9448441247002398,0.9177215189873418,0.0526889720052893,0.0,"[0.9644736137657025, 0.987885030484292]",0.0,,,,,,,,,,,
stage1,small_cnn,575,0.5,0.9060869565217392,0.925424217587955,0.9316455696202532,0.9841696263242572,0.9930813895994745,0.882494004796163,0.9683544303797468,0.068958948883271,0.0,"[0.9725141203441556, 0.9927541602481041]",,,,,,,,,,,,
stage1,resnet18,575,0.5,0.9113043478260868,0.93688340466867,0.935031847133758,0.9949154600370338,0.9980849783530876,0.8800959232613909,0.9936708860759492,0.0736428658444259,0.0,"[0.9904435740172848, 0.9981651494837996]",,,,,,,,,,,,
stage1,efficientnet_b0,575,0.5,0.9495652173913044,0.953434720577968,0.9645042839657284,0.993761952463346,0.9976088353903536,0.9448441247002398,0.9620253164556962,0.0403582411911168,0.0,"[0.9892015659697614, 0.9972744877605466]",,,,,,,,,,,,
stage1,pneunet,575,0.5,0.954782608695652,0.9609628752694048,0.9681372549019608,0.9954011474364812,0.9983324909476172,0.947242206235012,0.9746835443037974,0.0341980065065067,0.0,"[0.9917395364306599, 0.9981787888039211]",,,,,,,,,,,,
stage1,pneunet_no_attention,575,0.5,0.9408695652173912,0.9572670977142336,0.9576059850374063,0.9934432201074584,0.99749063845541,0.920863309352518,0.9936708860759492,0.0483450861027365,0.0,"[0.9880478512485263, 0.9973730151162822]",,,,,,,,,,,,
stage1,pneunet_avg_pool,575,0.5,0.9739130434782608,0.976117839905291,0.9818181818181818,0.9947485049934736,0.9979080550741786,0.9712230215827338,0.981012658227848,0.0215685361878981,0.0,"[0.9897334051229457, 0.9985525863104793]",,,,,,,,,,,,
stage1,deep_ensemble,575,0.5,0.951304347826087,0.9644613423185502,0.9653465346534652,0.9957805907172996,0.998410398959287,0.935251798561151,0.9936708860759492,0.0402059390278725,0.0,"[0.9923885147411022, 0.998239205354689]",,,,,,,,,,,,
stage2,intensity_logistic,417,0.5,0.6354916067146283,0.6374344914596273,0.5777777777777777,0.6752717391304348,0.5585280833972446,0.6459627329192547,0.62890625,0.230260849548778,0.0,"[0.6182140471436173, 0.726643702721289]",0.0,,,,,,,,,,,
stage2,hog_linear_svm,417,0.5,0.6738609112709832,0.6560073757763976,0.577639751552795,0.7345448369565217,0.6170900085663654,0.577639751552795,0.734375,0.2128604140978646,0.0089630695444177,"[0.6863134565191528, 0.7813014895310891]",4.553076600000168,,,,,,,,,,,
