table,model,n_images,n_filename_groups,threshold,bootstrap_repetitions,seed,roc_auc,roc_auc_ci_low,roc_auc_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,sensitivity,sensitivity_ci_low,sensitivity_ci_high,specificity,specificity_ci_low,specificity_ci_high,f1,f1_ci_low,f1_ci_high
table2_stage1,Deep ensemble,575,424,0.5,2000,20260727,0.9957805907172996,0.9924048498335126,0.998360363771448,0.998410398959287,0.9969027715436949,0.9993961653004814,0.951304347826087,0.9318549114720805,0.9690351275342197,0.9644613423185502,0.9489351054246474,0.9773962765957447,0.935251798561151,0.9081018823701751,0.9584436531210725,0.9936708860759493,0.9793103448275862,1.0,0.9653465346534653,0.949748743718593,0.9778893978778104
table2_stage1,PneuNet,575,424,0.5,2000,20260727,0.9954011474364812,0.9916156587553117,0.9982394675937398,0.9983324909476172,0.996770836602006,0.9993663322023146,0.9547826086956521,0.9355386647184444,0.9719942742595131,0.9609628752694047,0.9430999259243309,0.9761399671951886,0.947242206235012,0.9230769230769231,0.9684495822763081,0.9746835443037974,0.9477124183006536,0.9940476190476191,0.9681372549019608,0.9536833557710064,0.9804406378431695
table2_stage1,ResNet-18,575,424,0.5,2000,20260727,0.9949154600370338,0.9902679041776745,0.9981447232796257,0.9980849783530876,0.9962313829099251,0.9993351316532071,0.9113043478260869,0.8844017869368753,0.9332190978324546,0.93688340466867,0.9175253590039062,0.9536444396274647,0.8800959232613909,0.8423615684518321,0.9110602932801822,0.9936708860759493,0.9791593309859155,1.0,0.935031847133758,0.9131622214103032,0.9526043089858118
table2_stage1,EfficientNet-B0,575,424,0.5,2000,20260727,0.9937619524633459,0.9888512639953508,0.9972218377368803,0.9976088353903537,0.9954353912214948,0.9990062834477808,0.9495652173913044,0.9301883651437085,0.9666666666666667,0.9534347205779681,0.933085993543759,0.97071283298172,0.9448441247002398,0.9205544410542249,0.9654379124324431,0.9620253164556962,0.9295752076561935,0.9876543209876543,0.9645042839657283,0.9496015647638365,0.9770825266357858
table2_stage1,HOG linear SVM,575,424,0.5,2000,20260727,0.9770816258385696,0.9641812423996398,0.9881145195740353,0.9903236067245913,0.982671930712272,0.995692187922209,0.9373913043478261,0.9157852215817821,0.956452546539039,0.9312828218437907,0.9065102545219133,0.953250060576713,0.9448441247002398,0.9205912552408659,0.965858900783578,0.9177215189873418,0.8742138364779874,0.9562567934782609,0.9563106796116505,0.940279542566709,0.9700625268799418
table3_stage2,Group-out-of-fold fixed stack,417,266,0.5094855284967313,2000,20260727,0.8407899844720497,0.7871106604670105,0.8932480838100175,0.7396861367964594,0.6502865523192124,0.8339922846813913,0.7745803357314148,0.720296596967389,0.8268803662169265,0.7806798330745341,0.7278128457516417,0.8342203280383684,0.8074534161490683,0.7319483844184598,0.8838756428237494,0.75390625,0.676577192215176,0.8237601704765594,0.7344632768361582,0.6666666666666666,0.7948260731094517
table3_stage2,Embedding SVM,417,266,0.6348699763593381,2000,20260727,0.8529939829192547,0.8019480499349486,0.9023342713400253,0.7607601673576834,0.6869082406403628,0.8390839011234739,0.7649880095923262,0.692124967087941,0.8321431179929153,0.7475131017080745,0.6735593574747987,0.8225891698842688,0.6708074534161491,0.5326446060087672,0.8074145299145299,0.82421875,0.7551020408163265,0.8844659822249463,0.6878980891719745,0.5958670683487102,0.7724550898203593
table3_stage2,PneuNet-v2,417,266,0.49685854,2000,20260727,0.8460306677018634,0.7846504965888366,0.9042232848800319,0.7772258861975284,0.7011947354563044,0.8538710883159407,0.7769784172661871,0.6989384543433632,0.8431902922871748,0.754973796583851,0.6826379727150812,0.8281432603958472,0.6583850931677019,0.5284643219193512,0.7902306648575305,0.8515625,0.7906137184115524,0.9029850746268657,0.6950819672131148,0.6034831644328211,0.781024969893583
table3_stage2,EfficientNet-B0,417,266,0.60029346,2000,20260727,0.8233695652173912,0.7586949962968209,0.8814176174274753,0.731434761691092,0.6520272910413335,0.8126849302116004,0.7314148681055156,0.6674791666666666,0.7930218628820619,0.7351513975155279,0.6671494083624224,0.8028375805056421,0.7515527950310559,0.6390173668752395,0.8682221542227662,0.71875,0.6457214125560538,0.7878818181818181,0.6836158192090396,0.6094071844591235,0.7557153806147866
table3_stage2,Tuned CER-Net,417,266,0.7451735734939575,2000,20260727,0.8192934782608695,0.7710800668275103,0.8653560028083446,0.7337179988883731,0.6565878149387268,0.8070906817309889,0.7410071942446043,0.6749905097613883,0.7995170523330221,0.7129998059006211,0.6559408286824596,0.7716989731825472,0.5900621118012422,0.48704324119035347,0.7005678542603482,0.8359375,0.7824381310022163,0.8833333333333333,0.6375838926174496,0.5590518041305443,0.7106986146806242
