analysis,status,n_images,n_positive,n_negative,metric,estimate,ci_lower,ci_upper,resampling_unit,bootstrap_replicates
frozen_whole_image_external,prespecified_external_feasibility,339,139,200,auroc,0.642374,0.583236,0.700622,image,5000
frozen_whole_image_external,prespecified_external_feasibility,339,139,200,auprc,0.558457,0.478167,0.645327,image,5000
frozen_whole_image_external,prespecified_external_feasibility,339,139,200,accuracy,0.610619,0.557522,0.660767,image,5000
frozen_whole_image_external,prespecified_external_feasibility,339,139,200,sensitivity,0.064748,0.027972,0.108984,image,5000
frozen_whole_image_external,prespecified_external_feasibility,339,139,200,specificity,0.990000,0.974490,1.000000,image,5000
frozen_whole_image_external,prespecified_external_feasibility,339,139,200,ppv,0.818182,0.555556,1.000000,image,5000
frozen_whole_image_external,prespecified_external_feasibility,339,139,200,npv,0.603659,0.550200,0.655500,image,5000
frozen_whole_image_external,prespecified_external_feasibility,339,139,200,brier_score,0.356823,0.309513,0.405776,image,5000
lung_field_crop_external,post_result_technical_sensitivity,339,139,200,auroc,0.694065,0.636088,0.749376,image,5000
lung_field_crop_external,post_result_technical_sensitivity,339,139,200,auprc,0.612833,0.529856,0.697331,image,5000
lung_field_crop_external,post_result_technical_sensitivity,339,139,200,sensitivity,0.244604,0.175566,0.320313,image,5000
lung_field_crop_external,post_result_technical_sensitivity,339,139,200,specificity,0.915000,0.874985,0.951613,image,5000
crop_intensity_external,post_result_technical_sensitivity,339,139,200,auroc,0.670360,0.612168,0.726715,image,5000
crop_intensity_external,post_result_technical_sensitivity,339,139,200,auprc,0.552426,0.475943,0.645878,image,5000
crop_intensity_external,post_result_technical_sensitivity,339,139,200,sensitivity,0.517986,0.436081,0.604651,image,5000
crop_intensity_external,post_result_technical_sensitivity,339,139,200,specificity,0.710000,0.646154,0.771280,image,5000
vindr_internal_oof,internal_target_cohort_not_external_validation,339,139,200,auroc,0.666547,0.606986,0.724568,image,5000
vindr_internal_oof,internal_target_cohort_not_external_validation,339,139,200,auprc,0.566344,0.486826,0.661227,image,5000
vindr_internal_oof,internal_target_cohort_not_external_validation,339,139,200,sensitivity,0.482014,0.399967,0.567376,image,5000
vindr_internal_oof,internal_target_cohort_not_external_validation,339,139,200,specificity,0.745000,0.681592,0.805000,image,5000
