analysis,model,metric,estimate,ci95_low,ci95_high,resampling_unit,replicates,discarded_invalid_replicates
main,stage1,auroc,0.9961328892771347,0.9944834068085422,0.9973954040026426,filename_group_constraint_component,5000,0
main,stage1,auprc,0.998276757868926,0.9969549981141713,0.9990586873125201,filename_group_constraint_component,5000,0
main,stage1,accuracy,0.953796629426245,0.9478520688260056,0.9593452698673104,filename_group_constraint_component,5000,0
main,stage1,f1,0.9675359233634913,0.9630866904739906,0.9716123141610953,filename_group_constraint_component,5000,0
main,stage1,sensitivity,0.9429460580912863,0.9349744720355263,0.9502346949250196,filename_group_constraint_component,5000,0
main,stage1,specificity,0.9831578947368421,0.9761254128800817,0.9895688456189151,filename_group_constraint_component,5000,0
main,stage1,ppv,0.9934426229508196,0.990659069311524,0.995975396192267,filename_group_constraint_component,5000,0
main,stage1,npv,0.8642813078346699,0.8473052498355245,0.880689237354942,filename_group_constraint_component,5000,0
main,stage1,brier,0.020822897712072002,0.017710991454817793,0.024266747423463624,filename_group_constraint_component,5000,0
main,stage2_conditional,auroc,0.8297409433998182,0.8053125782920331,0.8528096349568662,filename_group_constraint_component,5000,0
main,stage2_conditional,auprc,0.7214806623016458,0.6888283615372565,0.7538062123516297,filename_group_constraint_component,5000,0
main,stage2_conditional,accuracy,0.7829356846473029,0.7633869455974193,0.8016998815002739,filename_group_constraint_component,5000,0
main,stage2_conditional,f1,0.6983783783783784,0.6729635801946848,0.7230659403621086,filename_group_constraint_component,5000,0
main,stage2_conditional,sensitivity,0.7274774774774775,0.6937494234317343,0.7601230811927043,filename_group_constraint_component,5000,0
main,stage2_conditional,specificity,0.812202852614897,0.7900283745439806,0.833395456332021,filename_group_constraint_component,5000,0
main,stage2_conditional,ppv,0.6715176715176715,0.6395900230335635,0.7021576881183625,filename_group_constraint_component,5000,0
main,stage2_conditional,npv,0.8495648570244508,0.8255969683278931,0.8719650499560656,filename_group_constraint_component,5000,0
main,stage2_conditional,brier,0.17261557005142433,0.1568242059752617,0.1897160408769214,filename_group_constraint_component,5000,0
main,cascade,accuracy,0.8068547623556145,0.7922827695997997,0.8208556911642799,filename_group_constraint_component,5000,0
main,cascade,macro_f1,0.7973120314924542,0.7836373823163679,0.8108540968939097,filename_group_constraint_component,5000,0
main,cascade,recall_normal,0.9831578947368421,0.9762734928501307,0.9894368055624387,filename_group_constraint_component,5000,0
main,cascade,recall_bacterial,0.7912044374009509,0.7685599946071877,0.8125005688023298,filename_group_constraint_component,5000,0
main,cascade,recall_viral,0.6478978978978979,0.6154988828404623,0.6817478354978355,filename_group_constraint_component,5000,0
main,matched_single_stage,accuracy,0.8305245218708578,0.8173522363011784,0.8431260224418792,filename_group_constraint_component,5000,0
main,matched_single_stage,macro_f1,0.824812050562378,0.8128436068022032,0.8363731010194622,filename_group_constraint_component,5000,0
main,matched_single_stage,recall_normal,0.9621052631578947,0.9511842472794709,0.9723184004950872,filename_group_constraint_component,5000,0
main,matched_single_stage,recall_bacterial,0.8335974643423137,0.8144598589522362,0.8512398303339256,filename_group_constraint_component,5000,0
main,matched_single_stage,recall_viral,0.683933933933934,0.6538756045820504,0.7150625431331953,filename_group_constraint_component,5000,0
