analysis,model,outer_fold,status,inner_optimizer_steps,outer_optimizer_steps,total_optimizer_steps,elapsed_seconds,gpu_hours,peak_cuda_memory_bytes,peak_cuda_memory_gib,test_reads,planned_training_flops,budget_within_5_percent
conservative_raw_identifier,single,0,COMPLETE,5914,7421,13335,6707.686172,1.863246,1580164096,1.471642,0,492801424799040,True
conservative_raw_identifier,single,1,COMPLETE,6076,7588,13664,6841.157245,1.900321,1580164096,1.471642,0,504959780161536,True
conservative_raw_identifier,single,2,COMPLETE,6086,7544,13630,7001.793162,1.944943,1580164096,1.471642,0,503703293589120,True
conservative_raw_identifier,single,3,COMPLETE,6024,7652,13676,6861.390124,1.905942,1580164096,1.471642,0,505403246010624,True
conservative_raw_identifier,single,4,COMPLETE,6107,7534,13641,6541.682725,1.817134,1580164096,1.471642,0,504109803950784,True
conservative_raw_identifier,stage1,0,COMPLETE,4180,3668,7848,3040.946751,0.844707,840940032,0.783186,0,492799072215168,True
conservative_raw_identifier,stage1,1,COMPLETE,5088,4752,9840,3786.070619,1.051686,841771520,0.783961,0,504976230600192,True
conservative_raw_identifier,stage1,2,COMPLETE,3762,3156,6918,2725.530531,0.757092,840244736,0.782539,0,503694424454400,True
conservative_raw_identifier,stage1,3,COMPLETE,3861,3210,7071,2751.001006,0.764167,840296960,0.782588,0,505407547861632,True
conservative_raw_identifier,stage1,4,COMPLETE,2105,1060,3165,1369.045328,0.380290,841771520,0.783961,0,504125741715840,True
conservative_raw_identifier,stage2,0,COMPLETE,8526,9144,17670,4446.064648,1.235018,1516808192,1.412638,0,492799072215168,True
conservative_raw_identifier,stage2,1,COMPLETE,8680,7720,16400,4199.891711,1.166637,1512744960,1.408854,0,504976230600192,True
conservative_raw_identifier,stage2,2,COMPLETE,7332,6144,13476,3386.921488,0.940812,1513064448,1.409151,0,503694424454400,True
conservative_raw_identifier,stage2,3,COMPLETE,8792,8602,17394,4324.649269,1.201291,1510746112,1.406992,0,505407547861632,True
conservative_raw_identifier,stage2,4,COMPLETE,6754,5425,12179,3080.652335,0.855737,1513064448,1.409151,0,504125741715840,True
main,single,0,COMPLETE,5914,7421,13335,6731.059823,1.869739,1580164096,1.471642,0,492801424799040,True
main,single,1,COMPLETE,6076,7588,13664,6814.242651,1.892845,1580164096,1.471642,0,504959780161536,True
main,single,2,COMPLETE,6086,7544,13630,6769.806707,1.880502,1580164096,1.471642,0,503703293589120,True
main,single,3,COMPLETE,6024,7652,13676,6786.294361,1.885082,1580164096,1.471642,0,505403246010624,True
main,single,4,COMPLETE,6107,7534,13641,7034.890221,1.954136,1580164096,1.471642,0,504109803950784,True
main,stage1,0,COMPLETE,3328,2605,5933,826.419707,0.229561,841599488,0.783801,0,492799072215168,True
main,stage1,1,COMPLETE,2975,2124,5099,1090.790173,0.302997,841562624,0.783766,0,504976230600192,True
main,stage1,2,COMPLETE,4260,3696,7956,2920.710198,0.811308,841771520,0.783961,0,503694424454400,True
main,stage1,3,COMPLETE,3798,3210,7008,2685.794631,0.746054,840296960,0.782588,0,505407547861632,True
main,stage1,4,COMPLETE,3416,2640,6056,2256.541249,0.626817,841562624,0.783766,0,504125741715840,True
main,stage2,0,COMPLETE,6644,5292,11936,2977.463996,0.827073,1513064448,1.409151,0,492799072215168,True
main,stage2,1,COMPLETE,8694,10878,19572,4894.957549,1.359710,1512744960,1.408854,0,504976230600192,True
main,stage2,2,COMPLETE,8722,8481,17203,4299.580719,1.194328,1512744960,1.408854,0,503694424454400,True
main,stage2,3,COMPLETE,6150,4704,10854,2719.414768,0.755393,1512744960,1.408854,0,505407547861632,True
main,stage2,4,COMPLETE,8750,7700,16450,4115.052287,1.143070,1512744960,1.408854,0,504125741715840,True
