task,model,source,n,roc_auc
stage1,deep_ensemble,test,76,0.9975389663658737
stage1,deep_ensemble,train,499,0.9979446479446479
stage1,efficientnet_b0,test,76,0.9967186218211649
stage1,efficientnet_b0,train,499,0.9958689458689458
stage1,hog_linear_svm,test,76,0.9540607054963085
stage1,hog_linear_svm,train,499,0.985999185999186
stage1,intensity_logistic,test,76,0.8662838392124692
stage1,intensity_logistic,train,499,0.9204721204721205
stage1,pneunet,test,76,0.9958982772764561
stage1,pneunet,train,499,0.9973951973951973
stage1,pneunet_avg_pool,test,76,0.9835931091058244
stage1,pneunet_avg_pool,train,499,0.9984126984126984
stage1,pneunet_no_attention,test,76,0.9885151763740772
stage1,pneunet_no_attention,train,499,0.9970695970695971
stage1,resnet18,test,76,0.9917965545529123
stage1,resnet18,train,499,0.9979039479039479
stage1,small_cnn,test,76,0.963084495488105
stage1,small_cnn,train,499,0.9932030932030932
stage2,cernet_resnet50,test,53,0.9606060606060606
stage2,cernet_resnet50,train,364,0.7440447794421652
stage2,cernet_resnet50_tuned,test,53,0.9727272727272727
stage2,cernet_resnet50_tuned,train,364,0.7871068282288586
stage2,deep_ensemble,test,53,0.996969696969697
stage2,deep_ensemble,train,364,0.8035174760678052
stage2,efficientnet_b0,test,53,0.9984848484848485
stage2,efficientnet_b0,train,364,0.7868205959991096
stage2,hog_linear_svm,test,53,0.8227272727272728
stage2,hog_linear_svm,train,364,0.7224819514677352
stage2,intensity_logistic,test,53,0.8257575757575758
stage2,intensity_logistic,train,364,0.6518780014629647
stage2,pneunet,test,53,0.9772727272727272
stage2,pneunet,train,364,0.7672931972140062
stage2,pneunet_avg_pool,test,53,0.9575757575757575
stage2,pneunet_avg_pool,train,364,0.7824317018096236
stage2,pneunet_embedding_svm,test,53,0.9878787878787878
stage2,pneunet_embedding_svm,train,364,0.823521928569157
stage2,pneunet_eq,test,53,0.9848484848484849
stage2,pneunet_eq,train,364,0.8146487294469357
stage2,pneunet_hr,test,53,0.9712121212121212
stage2,pneunet_hr,train,364,0.7771205037687243
stage2,pneunet_no_attention,test,53,0.9924242424242424
stage2,pneunet_no_attention,train,364,0.8122316572846102
stage2,pneunet_v2,test,53,0.9893939393939394
stage2,pneunet_v2,train,364,0.8159526762713482
stage2,resnet18,test,53,0.9651515151515151
stage2,resnet18,train,364,0.7577839264701205
stage2,small_cnn,test,53,0.962121212121212
stage2,small_cnn,train,364,0.7178704322106669
stage2,validation_stacked_ensemble,test,53,0.9969696969696971
stage2,validation_stacked_ensemble,train,364,0.8247940718124861
