source,split,subtype,n,width_mean,width_std,width_median,width_min,width_max,height_mean,height_std,height_median,height_min,height_max,aspect_ratio_mean,aspect_ratio_std,aspect_ratio_median,aspect_ratio_min,aspect_ratio_max,file_size_kb_mean,file_size_kb_std,file_size_kb_median,file_size_kb_min,file_size_kb_max,mean_intensity_mean,mean_intensity_std,mean_intensity_median,mean_intensity_min,mean_intensity_max,std_intensity_mean,std_intensity_std,std_intensity_median,std_intensity_min,std_intensity_max,border_dark_fraction_mean,border_dark_fraction_std,border_dark_fraction_median,border_dark_fraction_min,border_dark_fraction_max,border_bright_fraction_mean,border_bright_fraction_std,border_bright_fraction_median,border_bright_fraction_min,border_bright_fraction_max
test,test,bacterial,33,1081.0,120.78803748716177,1056.0,864,1365,724.1212121212121,122.76673958562571,704.0,536,1118,1.5133919641292315,0.17902919558033403,1.4883720930232558,1.2209302325581395,1.8918918918918919,60.14435369318182,25.522678020019914,54.9130859375,35.6787109375,173.6572265625,0.44605944,0.07203058,0.43716738,0.2836518,0.5847292,0.210702,0.026813906,0.2034108,0.15516332,0.27674973,0.09996695470328283,0.18053166568853668,0.00537109375,0.0,0.628662109375,0.0,0.0,0.0,0.0,0.0
test,test,viral,20,1241.5,220.97094355307627,1191.0,832,1648,824.3,263.32631347516536,740.0,448,1400,1.5721102271248004,0.2381291205096359,1.5640449438202246,1.177142857142857,2.028985507246377,92.062353515625,48.54038305090937,75.615234375,31.861328125,186.9072265625,0.4899567,0.054840907,0.5000919,0.39729035,0.62524474,0.2393032,0.021710474,0.23624605,0.20825341,0.29207498,0.3572021484375,0.14458553451782682,0.3963623046875,0.0005696614583333334,0.5330403645833334,0.0004191080729166666,0.0006996979457718859,4.0690104166666664e-05,0.0,0.0021158854166666665
test,train,bacterial,188,1073.063829787234,174.41562068288346,1064.0,728,1720,719.9042553191489,159.93016986526436,702.5,344,1260,1.5217382142545193,0.21019987554419195,1.5055727554179565,1.049645390070922,2.5813953488372094,59.856180393949465,25.76826012325161,53.22900390625,19.205078125,170.3427734375,0.45773065,0.06454381,0.46054742,0.2652355,0.61211693,0.20497574,0.026925534,0.20394734,0.12384243,0.28391853,0.10088765029366134,0.173188076489626,0.017374674479166664,0.0,0.5852864583333334,1.2986203457446809e-05,5.867588437615835e-05,0.0,0.0,0.0004069010416666667
test,train,viral,116,1249.103448275862,234.69963706870092,1216.0,792,2000,837.551724137931,227.71925296494928,808.0,440,1456,1.5369489397104985,0.23337493875611728,1.5220445736434107,1.0927152317880795,2.381818181818182,96.01059907058189,48.15381652699623,87.39892578125,28.1376953125,256.1806640625,0.4844586,0.070112996,0.4844985,0.2302813,0.60758275,0.2382808,0.034795556,0.2391801,0.09790416,0.30700734,0.3194951901490661,0.17846638154075697,0.37455240885416663,0.0,0.6060384114583334,0.00043776939655172415,0.0007208631486179047,0.0,0.0,0.0028483072916666665
test,val,bacterial,21,1095.047619047619,140.8199120119297,1088.0,824,1280,763.2857142857143,138.4265664015195,792.0,424,1029,1.464849072534469,0.2281824618057119,1.4672897196261683,1.0,1.9433962264150944,62.3408203125,18.00812475103384,61.2939453125,24.6484375,106.576171875,0.46499294,0.06930291,0.45801434,0.30466342,0.5989313,0.19829395,0.026016705,0.19894274,0.1660891,0.27429846,0.059628441220238096,0.13888230130301013,0.013102213541666666,0.000244140625,0.5171712239583334,0.0,0.0,0.0,0.0,0.0
test,val,viral,12,1232.5,205.7007977179918,1236.0,896,1520,796.1666666666666,201.12132626548552,820.0,472,1048,1.5956084224882048,0.27093023180651155,1.5917207792207793,1.3046875,2.3220338983050848,87.45467122395833,38.02771466013992,87.57861328125,42.5712890625,146.5888671875,0.48418328,0.06372838,0.48687834,0.34418875,0.57282674,0.24750106,0.022233892,0.24110429,0.21906267,0.29302874,0.43035210503472227,0.08156385257964105,0.42622884114583337,0.3152669270833333,0.5653483072916666,0.0003323025173611112,0.0005046030311572858,8.138020833333333e-05,0.0,0.0016276041666666667
train,test,bacterial,223,1173.5874439461884,238.27624256220616,1152.0,415,1744,816.5739910313902,221.53909350522522,792.0,163,1400,1.477581998524764,0.21866745304411603,1.4383561643835616,0.9707602339181286,2.957055214723926,80.89906372617713,43.49182081534984,71.6220703125,8.26953125,247.6103515625,0.47913158,0.07421029,0.47911054,0.26344097,0.6875809,0.21521786,0.037383568,0.21347728,0.08151197,0.30668196,0.173991615284006,0.19717702748374172,0.07283528645833333,0.0,0.9595540364583334,0.0002112965947309417,0.0017075844978685483,0.0,0.0,0.024576822916666668
train,test,viral,141,1268.8652482269504,290.4096667974435,1280.0,439,2080,879.9787234042553,299.0292978499672,848.0,182,2032,1.5057983147430776,0.2496806122189718,1.4660194174757282,0.991701244813278,2.489010989010989,98.75782635195036,59.39936266607948,87.9638671875,8.9365234375,385.083984375,0.4859275,0.076153226,0.4924413,0.30929562,0.6870211,0.2258661,0.04312657,0.22853717,0.11324773,0.3043789,0.26577333130171393,0.20226284084651056,0.2860514322916667,0.0,0.590576171875,0.00046404033687943264,0.002177363168477116,0.0,0.0,0.024251302083333332
train,train,bacterial,2043,1166.3465491923641,278.8835010734677,1128.0,399,2772,803.8717572197748,268.028798868179,760.0,144,2272,1.5073834135029238,0.24289986606425895,1.4838709677419355,0.9212962962962963,3.271523178807947,78.54480093994738,50.49501018156117,64.5322265625,5.51171875,583.044921875,0.4793607,0.081624754,0.47831833,0.23799063,0.8687936,0.20731384,0.03544178,0.20473513,0.0781021,0.3375692,0.13220563388450401,0.17635617171555878,0.02978515625,0.0,0.850830078125,0.00014097139368167728,0.0015404602450349116,0.0,0.0,0.056640625
train,train,viral,1077,1268.502321262767,318.0346904872842,1264.0,384,2309,866.3407613741875,303.2785994209053,832.0,127,2304,1.5325845757630532,0.26635383290107423,1.5056179775280898,0.8353909465020576,3.378787878787879,95.34162096680595,57.61839130182865,82.3134765625,5.3134765625,508.71875,0.49276668,0.07406278,0.49921054,0.2540027,0.7595856,0.23025773,0.042146027,0.23353983,0.09460615,0.3422376,0.2712955457143686,0.20032264106829242,0.309326171875,0.0,0.6312662760416666,0.00033164135039461467,0.0008819133250929084,0.0,0.0,0.0078125
train,val,bacterial,264,1137.340909090909,258.7103678667633,1088.0,455,2072,781.4734848484849,238.39379995505578,736.0,178,1616,1.507378145739658,0.2510844526762608,1.4696691176470589,1.005813953488372,2.9072164948453607,72.73384232954545,41.48618673408859,62.02783203125,7.83984375,322.6005859375,0.4725032,0.07933812,0.46436703,0.2755457,0.69165045,0.20712209,0.03405258,0.20704213,0.11505982,0.30028316,0.14106611772017044,0.18239597914022157,0.027628580729166664,0.0,0.9072265625,7.05911655618687e-05,0.00048232343121693233,0.0,0.0,0.007080078125
train,val,viral,127,1275.3779527559054,269.162426006219,1272.0,462,2080,859.3543307086615,275.11044037931254,824.0,238,2184,1.5421803562754453,0.24629713908179984,1.5319148936170213,0.9230769230769231,2.4246575342465753,95.19327479084646,46.95095863883228,88.9970703125,13.3662109375,273.7685546875,0.48826927,0.07588817,0.48838988,0.26578873,0.7092383,0.23366837,0.04245951,0.23834258,0.12018078,0.334908,0.31008742925688976,0.19166313615452651,0.3560384114583333,0.0,0.6188151041666666,0.00043317339238845145,0.0010911020286715257,0.0,0.0,0.0078125
val,train,bacterial,8,1217.0,229.6606191753388,1172.0,968,1664,814.0,186.7741187332212,788.0,592,1128,1.513181901063578,0.14075952099864195,1.5028089887640448,1.2521008403361344,1.7349397590361446,76.349609375,23.474191273963466,72.92236328125,48.1162109375,116.8251953125,0.4945503,0.06838527,0.51762325,0.3864503,0.5611614,0.23025312,0.0291251,0.22118291,0.21214648,0.29931974,0.2781982421875,0.15314642012151514,0.24702962239583334,0.10172526041666667,0.587158203125,0.0003255208333333333,0.0007646523275858142,0.0,0.0,0.002197265625
