"display_name","threshold","roc_auc","roc_auc_ci_low","roc_auc_ci_high","accuracy","accuracy_ci_low","accuracy_ci_high","sensitivity","sensitivity_ci_low","sensitivity_ci_high","specificity","specificity_ci_low","specificity_ci_high","f1","f1_ci_low","f1_ci_high"
"PneuNet embedding classifier","0.6348699763593381","0.8529939829192547","0.7970791049358138","0.9037686878195577","0.7649880095923262","0.6859590790145688","0.8345617659046277","0.6708074534161491","0.530589513032936","0.803030303030303","0.82421875","0.7568514328808447","0.8841075583625252","0.6878980891719745","0.5967204057603478","0.7785790900518623"
"PneuNet-v2","0.49685854","0.8460306677018633","0.7833702425504678","0.9075441010312497","0.7769784172661871","0.7002283532182931","0.8447380139279496","0.6583850931677019","0.5223214285714286","0.7902126099706744","0.8515625","0.7902587043972812","0.9049433585771297","0.6950819672131148","0.6022132816009022","0.7826164319975244"
"PneuNet-EQ","0.63190764","0.8433860636645962","0.7826354555216949","0.9021429775740274","0.7673860911270983","0.7006745265673837","0.8297490763546798","0.7329192546583851","0.6071428571428571","0.8552830940988835","0.7890625","0.7221945551128818","0.8521409237015733","0.7087087087087087","0.6299609242269792","0.7863849329205366"
"PneuNet no attention","0.68374693","0.8429978649068323","0.7889471827211741","0.8926725696653623","0.7577937649880095","0.6802532579296778","0.8257914116157342","0.6273291925465838","0.49037247474747475","0.7677648050072218","0.83984375","0.7827468507443696","0.8902451888442935","0.6666666666666666","0.5754147904560827","0.7542357105801213"
"Group-OOF fixed stack","0.5094855284967313","0.8407899844720497","0.7829365228049237","0.8942874139301967","0.7745803357314148","0.7201628279702115","0.8255550305550304","0.8074534161490683","0.7277250769147731","0.888113038277512","0.75390625","0.6756726726726726","0.8219372389002233","0.7344632768361582","0.6701537710841785","0.7950063056379822"
"EfficientNet-B3 384","0.7023763060569763","0.8282463121118012","0.7561242882412207","0.8963724904552892","0.7841726618705036","0.7008965534650466","0.8567501765023464","0.6894409937888198","0.5350532229450029","0.8322427293064876","0.84375","0.7837810259238831","0.8981882102272727","0.7115384615384616","0.6091461533465398","0.8062524801587302"
"EfficientNet-B0","0.60029346","0.8233695652173914","0.7612818312167946","0.8812412593552437","0.7314148681055156","0.6658698676887536","0.7935071631127316","0.7515527950310559","0.6367822218954489","0.865805838456845","0.71875","0.6454441360166552","0.7886194201564657","0.6836158192090396","0.614554503154693","0.758415058525783"
"ConvNeXt-Tiny 384","0.3768945336341858","0.8129367236024845","0.7425566471230052","0.882714704996583","0.7290167865707434","0.661821031263414","0.7910090285090285","0.7701863354037267","0.6523757763975155","0.8840579710144928","0.703125","0.6234805109006827","0.7777889784946236","0.6869806094182825","0.6178126995562687","0.76"
"PneuNet average pooling","0.394979","0.8127668866459627","0.7422191982739152","0.8807266748969218","0.7266187050359713","0.6562390988372093","0.7896041211263984","0.7204968944099379","0.5872029828109202","0.8455894690090802","0.73046875","0.6630360187553281","0.791844737895158","0.6705202312138728","0.5897335423197493","0.7486476744806962"
"PneuNet-HR","0.6897406","0.8119904891304348","0.7397212317708475","0.8789495102341665","0.7410071942446043","0.6659119353087407","0.8072289156626506","0.6770186335403726","0.5346298253420848","0.8111888111888111","0.78125","0.7142717086834734","0.8436366597571809","0.6687116564417178","0.5802774103182632","0.7532467532467533"
"PneuNet","0.6466086","0.7953222049689441","0.6969653001528845","0.8804525344340544","0.7434052757793765","0.6650784601607731","0.8105168481235933","0.6894409937888198","0.5392364272706578","0.8281308302238806","0.77734375","0.7160968798151002","0.8358793535305343","0.6747720364741642","0.580110497237569","0.7594317430950178"
"ResNet-18","0.531075","0.788189052795031","0.7044217734376116","0.869333024924162","0.7290167865707434","0.6611163337250294","0.7934599703965306","0.7515527950310559","0.619008587041374","0.870979262672811","0.71484375","0.6411239724747789","0.7859894302332854","0.6816901408450704","0.6030704225352113","0.755855934351435"
"XRV DenseNet121","0.4902862906455993","0.6184491459627329","0.523326930035399","0.7135999703765659","0.6594724220623501","0.5896081028689584","0.7268229450437688","0.4720496894409938","0.37296237413884475","0.5804311497326202","0.77734375","0.7078487195060228","0.8424941451990632","0.5170068027210885","0.4347605011053795","0.5993648208469055"
